id,customer_age_sales_interaction,utilization_ratio,combined_plus,discount_category,seat_utilisation_result,target,category_sale_Negative,category_sale_Neutral,category_sale_Positive,day,month,year
JMAN_18391348,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2476016,17,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_2453701,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_11265556,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_2468805,0,1.0,0.0,1,0,1,1,0,0,17,3,2023
JMAN_11200796,14,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_11118444,6,1.0,2.0,0,0,0,0,0,1,27,1,2023
JMAN_9023120,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9383192,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9803968,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_9031290,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_9029087,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_2473827,17,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_9086153,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_9003408,17,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_9014366,16,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_2448264,17,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_9026918,0,1.0,0.0,1,0,1,1,0,0,17,3,2023
JMAN_2463786,17,1.0,2.0,1,0,1,0,0,1,27,1,2023
JMAN_2461549,17,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_2465336,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_12472512,0,1.0,,1,1,1,1,0,0,10,2,2023
JMAN_2469170,17,1.0,3.0,1,0,1,0,0,1,17,3,2023
JMAN_9037476,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2464850,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_2457464,0,1.0,1.0,1,0,1,0,1,0,31,3,2023
JMAN_2447281,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2457464,0,1.0,1.0,1,0,1,0,1,0,27,1,2023
JMAN_2450157,16,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_9027650,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_9041676,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_9014565,0,1.0,1.0,1,0,1,0,1,0,31,3,2023
JMAN_9036481,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_9028070,0,1.0,1.0,1,0,1,0,1,0,24,3,2023
JMAN_2476152,17,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_18057083,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_9035528,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2453581,17,1.0,2.0,1,0,1,0,0,1,3,3,2023
JMAN_2473799,0,1.0,1.0,1,0,1,0,1,0,31,3,2023
JMAN_2468805,0,1.0,0.0,1,0,1,1,0,0,3,3,2023
JMAN_2474070,0,1.0,0.0,1,0,1,1,0,0,20,1,2023
JMAN_11201598,5,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_2379983,17,1.0,2.0,1,0,1,0,0,1,17,2,2023
JMAN_2457132,0,1.0377358490566038,,1,1,1,1,0,0,3,2,2023
JMAN_18409956,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_18149360,17,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_18149360,16,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_17630843,0,1.0,1.0,1,0,1,0,1,0,24,3,2023
JMAN_9079368,16,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_10592358,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9034089,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_18354320,0,1.0,1.0,1,0,1,0,1,0,20,1,2023
JMAN_9747161,12,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_9034647,17,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_9702646,12,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_9001490,17,1.0,2.0,1,0,1,0,0,1,3,3,2023
JMAN_10535735,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2454712,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2453288,17,1.0,2.0,1,0,1,0,0,1,17,2,2023
JMAN_18410392,0,1.0,1.0,1,0,1,0,1,0,27,1,2023
JMAN_2319823,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_9129318,0,1.0,,1,1,1,1,0,0,6,1,2023
JMAN_2481898,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_9004606,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_2475394,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_15078349,17,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_2481325,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_2396226,0,1.0,0.0,1,0,1,1,0,0,24,2,2023
JMAN_9021651,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9022776,17,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_9242624,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2474033,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9026440,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_9056184,0,0.8571428571428571,,1,1,1,1,0,0,10,2,2023
JMAN_2482561,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_2456281,0,1.0,0.0,1,0,1,1,0,0,17,2,2023
JMAN_11249333,6,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_9021732,0,1.0,0.0,1,0,1,1,0,0,13,1,2023
JMAN_9059722,17,1.0,3.0,1,0,1,0,0,1,24,2,2023
JMAN_2433825,0,1.0,0.0,1,0,1,1,0,0,24,2,2023
JMAN_18127929,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_18410388,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_2462717,16,1.0,3.0,1,0,1,0,0,1,13,1,2023
JMAN_2453359,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_10575478,8,1.0,3.0,1,0,1,0,0,1,17,2,2023
JMAN_9258120,11,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_2468303,0,1.0,0.0,1,0,1,1,0,0,31,3,2023
JMAN_9004478,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_18390982,0,1.0,,1,0,1,1,0,0,6,1,2023
